36 2 0 | Od.1.331-Od.1.335 Od.18.207-Od.18.211 | οὐ οἶος ἅμα ὁ γε καί ἀμφίπολος δύο ἕπομαι ὁ δέ ὅτε δή μνηστήρ ἀφικνέομαι δῖος γυνή ἵστημι ἄρα παρά σταθμός τέγος πύκα ποιητός ἄντα παρειά ἔχω λιπαρός κρήδεμνον ἀμφίπολος δέ ἄρα ἕ κεδνός ἑκάτερθε παρίστημι
36 2 0 | Od.10.183-Od.10.187 Od.9.556-Od.9.560 | ὡς τότε μέν πρόπας ἦμαρ εἰς ἠέλιος καταδύω ἧμαι δαίνυμι κρέας τε ἄσπετος καί μέθυ ἡδύς ἦμος δέ ἠέλιος καταδύω καί ἐπί κνέφας ἔρχομαι δή τότε κοιμάω ἐπί ῥηγμίν θάλασσα ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς
35 2 0 | Od.14.331-Od.14.335 Od.19.288-Od.19.292 | ὄμνυμι δέ πρός ἐγώ αὐτός ἀποσπένδω ἐν οἶκος ναῦς κατερύω καί ἐπαρτής εἰμί ἑταῖρος ὅς δή μιν πέμπω φίλος εἰς πατρίς γαῖα ἀλλά ἐγώ πρίν ἀποπέμπω τυγχάνω γάρ ἔρχομαι ναῦς ἀνήρ Θεσπρωτοί εἰς Δουλίχιον πολύπυρος
35 2 0 | Od.4.427-Od.4.431 Od.4.572-Od.4.576 | εἶμι πολύς δέ ἐγώ καρδία πορφύρω κίω ἀτάρ ἐπεί ἄρα ἐπί ναῦς κατέρχομαι ἠδέ θάλασσα δόρπον τε ὁπλίζω ἐπί τε ἔρχομαι ἀμβρόσιος νύξ δή τότε κοιμάω ἐπί ῥηγμίν θάλασσα ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς
34 2 0 | Od.18.329-Od.18.333 Od.18.389-Od.18.393 | ἀγορεύω θαρσαλέος πολύς μετά ἀνήρ οὐ δέ τις θυμός ταρβέω ἦ ἄρα σύ οἶνος ἔχω φρήν ἤ νῦν σύ ἀεί τοιοῦτος νόος εἰμί ὅς καί μεταμώνιος βάζω ἦ ἀλύω ὅτι Ἶρος νικάω ὁ ἀλήτης
33 2 0 | Od.11.111-Od.11.114 Od.12.138-Od.12.141 | ἄν ἔτι εἰς Ἰθάκη κακός πέρ πάσχω ἱκνέομαι εἰ δέ ἄν σίνομαι τότε σύ τεκμαίρομαι ὄλεθρος ναῦς τε καί ἑταῖρος αὐτός δέ εἰ πέρ ἄν ἀλύσκω ὀψέ κακός νέομαι ὄλλυμι ἀπό πᾶς ἑταῖρος
33 2 0 | Od.23.157-Od.23.162 Od.6.230-Od.6.235 | καί πάσσων κατά δέ κάρα οὖλος ἵημι κόμη ὑακίνθινος ἄνθος ὁμοῖος ὡς δέ ὅτε τις χρυσός περιχέω ἄργυρος ἀνήρ ἴδρις ὅς Ἥφαιστος δάω καί Παλλάς Ἀθήνη τέχνη παντοῖος χαρίεις δέ ἔργον τελέω ὡς
32 2 0 | Od.1.170-Od.1.173 Od.14.187-Od.14.190 | πόθεν εἰμί ἀνήρ πόθι σύ πόλις ἠδέ τοκεύς ὁποῖος τε ἐπί ναῦς ἀφικνέομαι πῶς δέ σύ ναύτης ἄγω εἰς Ἰθάκη τις εἰμί εὐχετάομαι οὐ μέν γάρ τις σύ πεζός οἴομαι ἐνθάδε ἱκνέομαι
32 3 0 | Od.17.143-Od.17.146 Od.4.557-Od.4.560 Od.5.14-Od.5.17 | νύμφη ἐν μέγαρον Καλυψώ ὅς μιν ἀνάγκη ἴσχω ὁ δέ οὐ δύναμαι ἑός πατρίς γαῖα ἱκνέομαι οὐ γάρ ἕ παρά ναῦς ἐπήρετμος καί ἑταῖρος ὅς ἄν μιν πέμπω ἐπί εὐρύς νῶτον θάλασσα
32 2 0 | Od.19.577-Od.19.581 Od.21.75-Od.21.79 | ὅς δέ ἄν ῥᾴδιος ἐντανύω βιός ἐν παλάμη καί διοιστεύω πέλεκυς δυοκαίδεκα πᾶς ὁ ἄν ἅμα ἕπομαι νοσφίζομαι ὅδε δῶμα κουρίδιος μάλα καλός ἔμπλεος βίοτος ὁ ποτέ μιμνήσκω οἴομαι ἐν πέρ ὄνειρος
31 2 0 | Od.17.126-Od.17.131 Od.4.335-Od.4.340 | δέ ὁπότε ἐν ξύλοχος ἔλαφος κρατερός λέων νεβρός κοιμάω νεηγενής γαλαθηνός κνημός ἐξέρομαι καί ἄγκος ποιήεις βόσκω ὁ δέ ἔπειτα ἑός εἰσέρχομαι εὐνή ἀμφότερος δέ ὁ ἀεικής πότμος ἐφίημι ὡς Ὀδυσσεύς
31 2 0 | Od.8.93-Od.8.97 Od.8.532-Od.8.536 | ἔνθα ἄλλος μέν πᾶς λανθάνω δάκρυον λείβω Ἀλκίνοος δέ μιν οἶος ἐπιφράζω ἠδέ νοέω ἧμαι ἄγχι αὐτός βαρύς δέ στενάχω ἀκούω αἶψα δέ Φαίαξ φιλήρετμος μεταυδάω κλύω Φαίαξ ἡγήτωρ ἠδέ μέδων
29 2 0 | Od.3.92-Od.3.95 Od.4.322-Od.4.325 | τοὔνεκα νῦν ὁ σός γόνυ ἱκάνω εἰ ἄν ἐθέλω ἐκεῖνος λυγρός ὄλεθρος ἐνέπω εἰ πού ὁράω ὀφθαλμός τεός ἤ ἄλλος μῦθος ἀκούω πλάζω περί γάρ μιν ὀιζυρός τίκτω μήτηρ
29 2 0 | Od.4.379-Od.4.382 Od.4.468-Od.4.471 | ἀλλά σύ πέρ ἐγώ εἶπον θεός δέ τε πᾶς οἶδα ὅς τις ἐγώ ἀθάνατος πεδάω καί δέω κέλευθος νόστος τε ὡς ἐπί πόντος ἔρχομαι ἰχθυόεις ὡς φημί ὁ δέ
28 6 2 | Od.1.136-Od.1.140 Od.10.368-Od.10.372 Od.15.135-Od.15.139 Od.17.91-Od.17.95 Od.4.52-Od.4.56 Od.7.172-Od.7.176 | χέρνιψ δέ ἀμφίπολος πρόχοος ἐπιχέω φέρω καλός χρύσεος ὑπέρ ἀργύρεος λέβης νίζω παρά δέ ξεστός τανύω τράπεζα σῖτος δέ αἰδοῖος ταμία παρατίθημι φέρω εἶδαρ πολύς ἐπιτίθημι χαρίζομαι πάρειμι
28 2 0 | Od.1.299-Od.1.302 Od.3.197-Od.3.200 | πατροφονεύς Αἴγισθος δολομήτης ὁ ἕ πατήρ κλυτός κτείνω καί σύ φίλος μάλα γάρ σύ ὁράω καλός τε μέγας τε ἄλκιμος εἰμί ἵνα τις σύ καί ὀψίγονος εὖ εἶπον
28 2 0 | Od.10.185-Od.10.188 Od.9.168-Od.9.171 | ἦμος δέ ἠέλιος καταδύω καί ἐπί κνέφας ἔρχομαι δή τότε κοιμάω ἐπί ῥηγμίν θάλασσα ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς καί τότε ἐγώ ἀγορά τίθημι μετά πᾶς εἶπον
28 2 0 | Od.15.189-Od.15.192 Od.3.491-Od.3.494 | δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς ἵππος τε ζεύγνυμι ἀνά τε ἅρμα ποικίλος βαίνω ἐκ δέ ἐλαύνω πρόθυρον καί αἴθουσα ἐρίδουπος μαστίζω δέ ἐλαύνω ὁ δέ οὐ ἀέκων πέτομαι
28 2 0 | Od.21.236-Od.21.239 Od.21.382-Od.21.385 | κλείω μέγαρον θύρα πυκνός ἀραρίσκω ἐάν δέ τις ἤ στοναχή ἠέ κτύπος ἔνδον ἀκούω ἀνήρ ἡμέτερος ἐν ἕρκος μή τις θύραζε προβλώσκω ἀλλά αὐτοῦ ἀκήν εἰμί παρά ἔργον
28 2 0 | Od.4.297-Od.4.300 Od.7.336-Od.7.339 | δέμνιον ὑπό αἴθουσα τίθημι καί ῥῆγος καλός πορφύρεος ἐμβάλλω στορέννυμι τε ἐφύπερθε τάπης χλαῖνα τε ἐντίθημι οὖλος καθύπερθε ἕζομαι ὁ δέ εἶμι ἐκ μέγαρον δάος μετά χείρ ἔχω
27 3 2 | Od.1.332-Od.1.335 Od.18.208-Od.18.211 Od.21.63-Od.21.66 | ὁ δέ ὅτε δή μνηστήρ ἀφικνέομαι δῖος γυνή ἵστημι ἄρα παρά σταθμός τέγος πύκα ποιητός ἄντα παρειά ἔχω λιπαρός κρήδεμνον ἀμφίπολος δέ ἄρα ἕ κεδνός ἑκάτερθε παρίστημι
27 2 0 | Od.15.10-Od.15.14 Od.3.313-Od.3.317 | δόμος ἀπό τῆλε ἀλάλημαι κτῆμα τε προλείπω ἀνήρ τε ἐν σός δόμος οὕτως ὑπερφίαλος μή σύ κατά πᾶς φαγεῖν κτῆμα δατέομαι σύ δέ τηύσιος ὁδός ἔρχομαι ἀλλά
