31 2 0 | Il.18.55:9/10-Il.18.60:2/5 Il.18.436:7/8-Il.18.441:2/5 | τε ἔξοχος ἥρως ὁ δέ ἀνατρέχω ἔρνος ἴσος ὁ μέν ἐγώ τρέφω φυτόν ὡς γουνός ἀλωή ναῦς ἐπιπροίημι κορωνίς Ἴλιος εἴσω Τρώς μάχομαι ὁ δέ οὐ ὑποδέχομαι αὖθις οἴκαδε νοστέω δόμος
31 2 0 | Il.5.733:0/5-Il.5.737:4/5 Il.8.384:0/5-Il.8.388:4/5 | ἀτάρ Ἀθήνη κόρη Ζεύς αἰγίοχος πέπλος μέν καταχεύω ἑανός πατήρ ἐπί οὖδας ποικίλος ὅς ἄρα αὐτός ποιέω καί κάμνω χείρ ὁ δέ χιτών ἐνδύω Ζεύς νεφεληγερέτα τεῦχος εἰς πόλεμος θωρήσσω δακρυόεις
30 2 0 | Il.11.211:1/8-Il.11.215:1/5 Il.5.494:1/8-Il.5.498:1/7 | δέ ἐκ ὄχος σύν τεῦχος ἅλλομαι χαμᾶζε πάλλω δέ ὀξύς δόρυ κατά στρατός οἴχομαι πάντῃ ὀτρύνω μάχομαι ἐγείρω δέ φύλοπις αἰνός ὁ δέ ἐλελίζω καί ἐναντίος ἵστημι Ἀχαιός Ἀργεῖος δέ
30 2 0 | Il.11.799:5/7-Il.11.804:1/9 Il.16.41:5/7-Il.16.46:1/8 | ἀπέχω πόλεμος Τρώς ἀναπνέω δέ ἄρειος υἱός Ἀχαιός τείρω ὀλίγος δέ τε ἀνάπνευσις πόλεμος ῥεῖα δέ ἄν ἀκμής κάμνω ἀνήρ ἀυτή ὠθέω πρός ἄστυ ναῦς ἀπό καί κλισία ὡς φημί
30 2 0 | Il.16.610:0/8-Il.16.613:7/8 Il.17.526:0/8-Il.17.529:7/8 | ἀλλά ὁ μέν ἄντα εἶδον ἀλέομαι χάλκεος ἔγχος πρόσω γάρ κατακύπτω ὁ δέ ἐξόπιθεν δόρυ μακρός οὖδας ἐνσκίμπτω ἐπί δέ οὐρίαχος πελεμίζω ἔγχος ἔνθα δέ ἔπειτα ἀφίημι μένος ὄβριμος Ἄρης
29 2 0 | Il.11.534:1/8-Il.11.537:6/9 Il.20.499:2/9-Il.20.502:6/9 | νέκυς τε καί ἀσπίς αἷμα δέ ἄξων ἔνερθε ἅπας παλάσσω καί ἄντυξ ὅς περί δίφρος ὅς ἄρα ἀπό ἵππειος ὁπλή ῥαθάμιγξ βάλλω ὅς τε ἀπό ἐπίσωτρον ὁ δέ ἵημι
29 2 0 | Il.3.70:1/7-Il.3.73:7/8 Il.3.91:1/7-Il.3.94:7/8 | ἀμφί Ἑλένη καί κτῆμα πᾶς μάχομαι ὁπότερος δέ ἄν νικάω κρείσσων τε γίγνομαι κτῆμα αἱρέω εὖ πᾶς γυνή τε οἴκαδε ἄγω ὅς δέ ἄλλος φιλότης καί ὅρκιον πιστός τέμνω
29 2 0 | Il.7.323:0/8-Il.7.327:0/6 Il.9.92:0/8-Il.9.96:0/5 | ἀτάρ ἐπεί πόσις καί ἐδητύς ἐκ ἔρος ἵημι ὁ ὁ γέρων πάμπρωτος ὑφαίνω ἄρχω μῆτις Νέστωρ ὅς καί πρόσθεν ἄριστος φαίνω βουλή ὁ σφεῖς εὐφρονέων ἀγοράομαι καί μετεῖπον Ἀτρείδης
29 2 0 | Il.9.428:2/8-Il.9.431:4/6 Il.9.691:2/8-Il.9.694:4/6 | ἐν ναῦς φίλος εἰς πατρίς ἕπομαι αὔριον ἐάν ἐθέλω ἀνάγκη δέ οὐ τις μιν ἄγω ὡς φημί ὁ δέ ἄρα πᾶς ἀκήν γίγνομαι σιωπή μῦθος ἄγαμαι μάλα γάρ κρατερός
28 2 0 | Il.18.384:0/12-Il.18.386:9/10 Il.18.423:0/12-Il.18.425:9/10 | ἐν τε ἄρα ἕ φύω χείρ ἔπος τε φημί ἐκ τε ὀνομάζω τίπτε Θέτις τανύπεπλος ἱκάνω ἡμέτερος δῶμα αἰδοῖος τε φίλος τε πάρος γε μέν οὐ τις θαμίζω
27 2 0 | Il.1.22:0/6-Il.1.25:7/8 Il.1.376:0/6-Il.1.379:7/8 | ἔνθα ἄλλος μέν πᾶς ἐπευφημέω Ἀχαιός αἰδέομαι τε ἱερεύς καί ἀγλαός δέχομαι ἄποινα ἀλλά οὐ Ἀτρείδης Ἀγαμέμνων ἁνδάνω θυμός ἀλλά κακός ἀφίημι κρατερός δέ ἐπί μῦθος τέλλω
