43 2 0 | Il.2.112:6/8-Il.2.118:8/9 Il.9.19:6/8-Il.9.25:8/9 | καί κατανεύω Ἴλιος ἐκπέρθω εὐτείχεος ἀπονέομαι νῦν δέ κακός ἀπάτη βουλεύω καί ἐγώ κελεύω δυσκλεής Ἄργος ἱκνέομαι ἐπεί πολύς ὄλλυμι λαός οὕτως πού Ζεύς μέλλω ὑπερμενής φίλος εἰμί ὅς δή πολύς πόλις καταλύω κάρηνον ἠδέ ἔτι καί λύω ὁ γάρ κράτος εἰμί μέγας
41 2 0 | Od.1.136:0/6-Od.1.142:6/7 Od.4.52:0/6-Od.4.58:6/7 | χέρνιψ δέ ἀμφίπολος πρόχοος ἐπιχέω φέρω καλός χρύσεος ὑπέρ ἀργύρεος λέβης νίζω παρά δέ ξεστός τανύω τράπεζα σῖτος δέ αἰδοῖος ταμία παρατίθημι φέρω εἶδαρ πολύς ἐπιτίθημι χαρίζομαι πάρειμι δαιτρός δέ κρέας πίναξ παρατίθημι ἀείρω παντοῖος παρά δέ σφεῖς τίθημι χρύσεος κύπελλον
41 2 0 | Od.18.251:3/9-Od.18.256:5/9 Od.19.124:4/10-Od.19.129:5/9 | ἐμός ἀρετή εἶδος τε δέμας τε ὄλλυμι ἀθάνατος ὅτε Ἴλιος εἰσαναβαίνω Ἀργεῖος μετά ὁ δέ ἐμός πόσις εἶμι Ὀδυσσεύς εἰ κεῖνος γε ἔρχομαι ὁ ἐμός βίος ἀμφιπολεύω μέγας ἄν κλέος ἐάω ἐμός καί καλός οὕτως νῦν δέ ἀχεύω τόσος γάρ ἐγώ
38 2 0 | Il.24.154:1/7-Il.24.158:5/6 Il.24.183:2/8-Il.24.187:5/6 | ἄγω εἷος ἄν ἄγω Ἀχιλλεύς πελάζω ἀτάρ ἐπήν ἄγω ἔσω κλισία Ἀχιλλεύς οὐ τε αὐτός κτείνω ἀπό τε ἄλλος πᾶς ἐρύκω οὐ τε γάρ εἰμί ἄφρων οὐ τε ἄσκοπος οὐ τε ἀλιτήμων ἀλλά μάλα ἐνδυκέως ἱκέτης φείδομαι ἀνήρ
38 2 0 | Od.11.121:4/6-Od.11.126:1/10 Od.23.268:4/6-Od.23.273:1/10 | εὐήρης ἐρετμόν εἰς ὅς ἄν ὁ ἀφικνέομαι ὅς οὐ οἶδα θάλασσα ἀνήρ οὐ δέ τε ἅλς μίγνυμι εἶδαρ ἔδω οὐ δέ ἄρα ὁ γε οἶδα ναῦς φοινικοπάρῃος οὐ δέ εὐήρης ἐρετμόν ὁ τε πτερόν ναῦς πέλω σῆμα δέ
37 2 0 | Il.9.149:3/7-Il.9.155:1/7 Il.9.291:3/7-Il.9.297:1/7 | δίδωμι εὖ ναίω πτολίεθρον Καρδαμύλη Ἐνόπη τε καί Ἱρή ποιήεις Φηραί τε ζάθεος ἠδέ Ἄνθεια βαθύλειμος καλός τε Αἴπεια καί Πήδασος ἀμπελόεις πᾶς δέ ἐγγύς ἅλς νέατος Πύλος ἠμαθόεις ἐν δέ ἀνήρ ναίω πολύρρηνος πολυβούτης ὅς ἄν
37 2 0 | Od.2.103:0/8-Od.2.107:7/8 Od.24.138:0/8-Od.24.142:7/8 | ὡς φημί ἐγώ δέ αὖτε ἐπιπείθομαι θυμός ἀγήνωρ ἔνθα καί ἠμάτιος μέν ὑφαίνω μέγας ἱστός νύξ δέ ἀναλύω ἐπεί δαίς παρατίθημι ὡς τριέτης μέν λανθάνω δόλος καί πείθω Ἀχαιός ἀλλά ὅτε τέτρατος ἔρχομαι ἔτος καί ἐπέρχομαι ὥρα
37 2 0 | Od.3.97:0/6-Od.3.101:7/8 Od.4.327:1/7-Od.4.331:7/8 | εὖ ἐγώ καταλέγω ὅπως ἀντάω ὀπωπή λίσσομαι εἰ ποτέ σύ τις πατήρ ἐμός ἐσθλός Ὀδυσσεύς ἤ ἔπος ἤ τις ἔργον ὑφίστημι ἐκτελέω δῆμος ἐν Τρώς ὅθι πάσχω πῆμα Ἀχαιός ὁ νῦν ἐγώ μιμνήσκω καί ἐγώ νημερτής ἐνέπω
36 2 0 | Il.3.355:4/7-Il.3.360:7/8 Il.7.249:2/5-Il.7.254:7/8 | προίημι δολιχόσκιος ἔγχος καί βάλλω Πριαμίδης κατά ἀσπίς πάντοσε ἴσος διά μέν ἀσπίς ἔρχομαι φαεινός ὄβριμος ἔγχος καί διά θώραξ πολυδαίδαλος ἐρείδω ἀντικρύ δέ παρά λαπάρα διαμάω χιτών ἔγχος ὁ δέ κλίνω καί ἀλέομαι κήρ μέλας
36 2 0 | Il.8.121:3/7-Il.8.125:7/8 Il.8.313:3/7-Il.8.317:7/8 | βάλλω στῆθος παρά μαστός ἐρείπω δέ ἐκ ὄχος ὑπερωέω δέ ἕ ἵππος ὠκύπους ὁ δέ αὖθι λύω ψυχή τε μένος τε Ἕκτωρ δέ αἰνός ἄχος πυκάζω φρήν ἡνίοχος ὁ μέν ἔπειτα ἐάω καί ἀχεύω πέρ ἑταῖρος
